Samples,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration,,,
AA1883,LAST,A3,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA1883,36.421,16.745,,,
AA7868A,LAST,B3,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA7868A,NA,19.675,,,
AA7868B,LAST,F2,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA7868B,103.764,16.154,,,
AA7879C,LAST,G2,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA7879C,113.904,31.711,,,
AndImp8,LAST,C2,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AndImp8,7.579,15.626,,,
CA12402,LAST,D2,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA12402,NA,16.464,,,
CC929000,LAST,E2,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC929000,39.205,19.563,,,
K58945A,LAST,H2,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K58945A,NA,32.62,,,
K58945B,LAST,C3,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K58945B,9.03,15.344,,,
V123,LAST,E3,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V123,NA,15.358,,,
V124,LAST,D3,Menacanthus,sample,NA,NA,field,Morioli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V124,49.028,16.172,,,
JC5i4A2,1,D12,Triatoma,sample,N,N,colony,NA,L4,L4_6,NA,yes,2,JC,AZ,JC,32.241693,-111.00941,10.7.2018,cockroach,JC5i4A2,199.429,20.033,,,
TU34i5A3,1,F4,Triatoma,sample,N,N,field,NA,L5,L4_6,NA,yes,3,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU34i5A3,111.737,12.256,,,
TU79i5A3,1,H7,Triatoma,sample,N,N,field,NA,L5,L4_6,NA,yes,3,UADS,AZ,nest13,32.252297,-111.08656,12.7..2018,NA,TU79i5A3,89.858,9.698,,,
LC2i2B2,2,F1,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC2i2B2,20.663,22.041,,,
LC5i1C3,2,D3,Triatoma,sample,N,N,field,NA,L1,L1_3,NA,yes,3,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,Gryllus,LC5i1C3,26.354,11.933,,,
LC7i2D2,2,A4,Triatoma,sample,N,N,field,NA,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,Gryllus,LC7i2D2,272.487,12.218,,,
nk1,2,G12,Nkisolation,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nk1,0.24,7.574,,,
nk2,2,H12,PCRwater,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nk2,1.189,8.342,,,
22DS,LAST,G3,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22DS,NA,50.256,,,
28DS,LAST,H3,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28DS,NA,40.023,,,
36DS,LAST,A4,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36DS,NA,36.958,,,
7DS,LAST,F3,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7DS,NA,54.554,,,
MCE2,LAST,F6,MockEqual,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCE2,NA,69.972,,,
MCS2,LAST,G6,MockScatered,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCS2,NA,31.293,,,
Nkwater,LAST,A1,PCRwater,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nkwater,5.774,15.844,,,
MCE1,NIC,D12,MockEqual,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCE1,NA,30.361,,,
MCS1,NIC,E12,MockScatered,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCS1,NA,36.617,,,
NKISO2,NIC,G12,Nkisolation,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NKISO2,NA,2.903,,,
