OTUs,Domain,Phylum,Class,Order,Family,Genus
OTU_1962,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII, D_5__[Eubacterium] brachy groupuncultured bacterium
OTU_157,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_767,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_2684,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_567,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_2833,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_201,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_206,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_5248,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_2007,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_3476,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_4714,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured bacterium
OTU_1902,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured Firmicutes bacterium
OTU_1721,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured organism
OTU_4783,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__[Eubacterium] coprostanoligenes groupuncultured organism
OTU_2961,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__[Eubacterium] hallii groupuncultured bacterium
OTU_2656,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__[Eubacterium] hallii groupuncultured bacterium
OTU_1884,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII, D_5__[Eubacterium] nodatum groupuncultured organism
OTU_1298,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__[Eubacterium] oxidoreducens groupEubacterium oxidoreducens
OTU_801,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__[Eubacterium] oxidoreducens groupuncultured rumen bacterium
OTU_344,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__[Eubacterium] ruminantium groupuncultured bacterium
OTU_926,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__[Eubacterium] ruminantium groupuncultured bacterium
